epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.5702421851264106,0.42973333333333336,1.221631961631775,0.553
2,1.2063341953913371,0.5674,0.9682322259902955,0.661
3,1.0519121075100368,0.6287333333333334,0.89070729970932,0.6842
4,0.9644743497212728,0.6592,0.8154155919075012,0.7072
5,0.9023233241505093,0.6820666666666667,0.7576510372161865,0.7328
6,0.852016586388482,0.7047111111111111,0.7253352064132691,0.7452
7,0.814104275279575,0.7148666666666667,0.7559239835739135,0.7294
8,0.7758192267841763,0.7274,0.68755126953125,0.7532
9,0.740319776863522,0.7401111111111112,0.661621516418457,0.7642
10,0.7105468603769938,0.7499111111111111,0.6585501873016357,0.7626
