epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.7997871085060968,0.36162222222222223,1.663704578590393,0.4186
2,1.5718792513317532,0.44622222222222224,1.5052977169036865,0.4628
3,1.4326725346035427,0.48984444444444447,1.3979314361572266,0.5022
4,1.3272327249103122,0.5264,1.332563127708435,0.5256
5,1.2539542493184408,0.5525555555555556,1.2998242357254028,0.535
6,1.1932323141521877,0.5748,1.2690084035873412,0.5468
7,1.146426281399197,0.5916,1.2498454359054565,0.559
8,1.1046758683628506,0.6077555555555556,1.2256541133880616,0.5672
9,1.0709020859188503,0.6214222222222222,1.2170034330368042,0.567
10,1.0331669825024075,0.6342888888888889,1.206645499229431,0.5742
